price,area,rooms,ceiling_height,price_per_m2,Тип,Ремонт,Парковка,Балкон,Санузел
65000.0,81.0,3,2.64,802.4691358024692,Квартира,Евроремонт,наземная,Балкон (1),Совмещенный (1)
70000.0,74.0,3,2.64,945.9459459459459,Квартира,Евроремонт,многоуровневая,Лоджия (1),Раздельный (1)
75000.0,60.0,3,2.7,1250.0,Квартира,unknown,unknown,Лоджия (1),Совмещенный (1)
80000.0,100.0,3,2.8,800.0,Квартира,unknown,подземная,Лоджия (2),Раздельный (2)
80000.0,80.0,3,2.64,1000.0,Квартира,Косметический,unknown,Лоджия (1),Совмещенный (1)
80000.0,80.5,3,2.7,993.7888198757764,Квартира,Евроремонт,unknown,Лоджия (1),"Совмещенный (1), Раздельный (1)"
90000.0,101.0,4,2.64,891.0891089108911,Квартира,Евроремонт,наземная,"Балкон (1), Лоджия (2)",Раздельный (1)
55000.0,80.0,3,,687.5,Квартира,Дизайнерский,наземная,Балкон (1),Раздельный (1)
130000.0,105.0,4,,1238.095238095238,Квартира,Евроремонт,unknown,Балкон (1),"Совмещенный (1), Раздельный (1)"
130000.0,105.0,4,,1238.095238095238,Квартира,Евроремонт,подземная,unknown,"Совмещенный (1), Раздельный (1)"
90000.0,100.0,3,3.0,900.0,Квартира,Евроремонт,подземная,Балкон (1),"Совмещенный (1), Раздельный (1)"
55000.0,66.0,3,2.64,833.3333333333334,Квартира,Евроремонт,наземная,Лоджия (1),unknown
105000.0,79.0,2,3.0,1329.113924050633,Квартира,unknown,подземная,unknown,Совмещенный (1)
60000.0,74.0,3,2.64,810.8108108108108,Квартира,Косметический,наземная,Лоджия (1),Раздельный (1)
65000.0,53.0,1,,1226.4150943396226,Квартира,Евроремонт,unknown,Балкон (1),Совмещенный (1)
85000.0,80.0,3,,1062.5,Квартира,Евроремонт,unknown,Лоджия (1),unknown
100000.0,80.0,3,3.0,1250.0,Квартира,Евроремонт,подземная,unknown,Совмещенный (2)
105000.0,79.0,2,,1329.113924050633,Квартира,Дизайнерский,наземная,unknown,Раздельный (1)
65000.0,75.0,2,,866.6666666666666,Квартира,Евроремонт,unknown,Лоджия (1),Раздельный (1)
60000.0,60.0,2,2.8,1000.0,Квартира,unknown,подземная,Балкон (1),Совмещенный (1)
60000.0,59.0,2,2.75,1016.9491525423729,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
60000.0,50.0,3,,1200.0,Квартира,Косметический,наземная,Лоджия (1),Раздельный (1)
52000.0,53.7,2,2.64,968.342644320298,Квартира,Косметический,unknown,Балкон (1),Раздельный (1)
55000.0,59.0,2,2.6,932.2033898305085,Квартира,unknown,unknown,Балкон (1),Раздельный (1)
56000.0,77.0,3,2.64,727.2727272727273,Квартира,Косметический,наземная,Лоджия (1),Раздельный (1)
57000.0,73.0,2,,780.8219178082192,Квартира,Евроремонт,unknown,unknown,unknown
60000.0,60.0,2,,1000.0,Квартира,Евроремонт,открытая,Лоджия (1),Совмещенный (1)
60000.0,56.0,2,2.64,1071.4285714285713,Квартира,Косметический,unknown,Лоджия (1),Раздельный (1)
60000.0,60.0,2,2.64,1000.0,Квартира,Евроремонт,unknown,Лоджия (1),Раздельный (1)
60000.0,60.0,2,,1000.0,Квартира,Евроремонт,unknown,Лоджия (1),unknown
60000.0,50.0,2,2.64,1200.0,Квартира,Косметический,unknown,Балкон (1),Раздельный (1)
65000.0,56.0,2,,1160.7142857142858,Квартира,Евроремонт,unknown,Балкон (1),Совмещенный (1)
65000.0,76.0,3,2.64,855.2631578947369,Квартира,Косметический,unknown,Балкон (1),unknown
65000.0,47.0,2,,1382.9787234042553,Квартира,Евроремонт,unknown,unknown,unknown
69000.0,67.0,3,2.5,1029.8507462686566,Квартира,unknown,наземная,Лоджия (1),Раздельный (1)
70000.0,74.0,3,2.7,945.9459459459459,Квартира,Косметический,открытая,Балкон (1),Совмещенный (1)
70000.0,85.0,3,,823.5294117647059,Квартира,Евроремонт,unknown,unknown,"Совмещенный (1), Раздельный (1)"
78000.0,65.0,2,3.1,1200.0,Квартира,unknown,наземная,unknown,Совмещенный (1)
79000.0,75.0,3,2.64,1053.3333333333333,Квартира,Евроремонт,unknown,Балкон (2),Раздельный (1)
80000.0,95.0,3,,842.1052631578947,Квартира,Косметический,unknown,Лоджия (2),Раздельный (1)
80000.0,50.0,2,,1600.0,Квартира,Евроремонт,наземная,unknown,Совмещенный (1)
85000.0,80.0,3,2.6,1062.5,Квартира,unknown,unknown,Балкон (2),Раздельный (1)
85000.0,100.0,4,2.7,850.0,Квартира,unknown,unknown,unknown,Раздельный (1)
95000.0,95.7,3,,992.6854754440961,Квартира,Дизайнерский,наземная,Лоджия (1),Совмещенный (2)
130000.0,105.0,4,,1238.095238095238,Квартира,Евроремонт,unknown,unknown,"Совмещенный (1), Раздельный (1)"
140000.0,105.0,4,,1333.3333333333333,Квартира,Дизайнерский,unknown,Балкон (1),unknown
150000.0,103.0,3,,1456.3106796116506,Квартира,Дизайнерский,подземная,Лоджия (1),Совмещенный (2)
54500.0,45.0,2,,1211.111111111111,Квартира,Косметический,открытая,Балкон (1),Раздельный (1)
55000.0,75.0,2,,733.3333333333334,Квартира,unknown,unknown,Лоджия (1),unknown
55000.0,54.0,2,2.64,1018.5185185185185,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
55000.0,62.0,3,2.64,887.0967741935484,Квартира,Евроремонт,unknown,Балкон (2),Раздельный (1)
57000.0,64.0,3,2.64,890.625,Квартира,Евроремонт,наземная,"Балкон (1), Лоджия (1)",Раздельный (1)
57000.0,60.0,2,2.64,950.0,Квартира,Евроремонт,наземная,Лоджия (1),Совмещенный (1)
58000.0,54.0,2,2.64,1074.0740740740741,Квартира,Евроремонт,unknown,Балкон (1),Совмещенный (1)
58000.0,63.0,2,2.73,920.6349206349206,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
58999.0,60.0,2,2.64,983.3166666666667,Квартира,Косметический,unknown,"Балкон (1), Лоджия (1)",Раздельный (1)
60000.0,63.0,3,2.64,952.3809523809524,Квартира,Косметический,unknown,Лоджия (1),Раздельный (1)
60000.0,46.8,2,,1282.0512820512822,Квартира,Евроремонт,открытая,Лоджия (1),Раздельный (1)
60000.0,60.0,2,,1000.0,Квартира,Евроремонт,unknown,Лоджия (1),Раздельный (1)
60000.0,57.0,2,2.64,1052.6315789473683,Квартира,Евроремонт,unknown,Лоджия (1),Совмещенный (1)
60000.0,76.7,3,2.48,782.2685788787484,Квартира,Евроремонт,unknown,Балкон (2),"Совмещенный (1), Раздельный (2)"
60000.0,75.0,2,2.64,800.0,Квартира,Евроремонт,наземная,Лоджия (1),Совмещенный (1)
65000.0,65.0,2,,1000.0,Квартира,Евроремонт,подземная,Лоджия (1),Совмещенный (1)
